customer_id,first_name,last_name,total_spent,city_rank
52,JULIE,SANCHEZ,107.71,1
101,PEGGY,MYERS,96.76,1
452,TOM,MILNER,107.68,1
486,GLEN,TALBERT,113.74,1
327,LARRY,THRASHER,112.74,1
392,SEAN,DOUGLASS,91.77,1
210,ELLA,OLIVER,137.69,1
367,ADAM,GOOCH,101.78,1
297,SHERRI,RHODES,128.67,1
574,JULIAN,VEST,109.72,1
479,ZACHARY,HITE,146.69,1
98,LILLIAN,GRIFFIN,106.75,1
70,CHRISTINA,RAMIREZ,80.82,1
590,SETH,HANNON,112.75,1
395,JOHNNY,TURPIN,57.81,1
417,TRAVIS,ESTEP,110.75,1
33,ANNA,HILL,91.79,1
175,ANNETTE,OLSON,98.76,1
414,VINCENT,RALSTON,105.75,1
359,WILLIE,MARKHAM,101.75,1
551,CLAYTON,BARBEE,96.74,1
225,ARLENE,HARVEY,120.74,1
415,GLENN,PULLEN,93.77,1
534,CHRISTIAN,JUNG,88.76,1
307,JOSEPH,JOY,134.70,1
229,TAMARA,NGUYEN,93.75,1
45,JANET,PHILLIPS,127.73,1
216,NATALIE,MEYER,95.77,1
137,RHONDA,KENNEDY,194.61,1
77,JANE,BENNETT,100.72,1
36,KATHLEEN,ADAMS,92.73,1
360,RALPH,MADRIGAL,150.66,1
305,RICHARD,MCCRARY,109.75,1
102,CRYSTAL,FORD,137.67,1
200,JEANNE,LAWSON,136.73,1
478,LEWIS,LYMAN,86.81,1
226,MAUREEN,LITTLE,87.79,1
3,LINDA,WILLIAMS,135.74,1
397,JIMMY,SCHRADER,105.71,1
84,SARA,PERRY,141.67,1
96,DIANA,ALEXANDER,105.73,1
330,SCOTT,SHELLEY,94.75,1
537,CLINTON,BUFORD,103.75,1
560,JORDAN,ARCHULETA,132.70,1
398,ANTONIO,MEEK,78.84,1
322,JASON,MORRISSEY,128.72,1
538,TED,BREAUX,117.71,1
495,CHARLIE,BESS,120.74,1
333,ANDREW,PURDY,109.73,1
55,DORIS,REED,100.78,1
366,BRANDON,HUEY,152.63,1
208,LUCY,WHEELER,91.74,1
352,ALBERT,CROUSE,99.77,1
91,LOIS,BUTLER,113.65,1
584,SALVADOR,TEEL,129.70,1
568,ALBERTO,HENNING,66.79,1
61,KATHERINE,RIVERA,58.86,1
315,KENNETH,GOODEN,84.83,1
172,BERNICE,WILLIS,145.67,1
441,MARIO,CHEATHAM,112.72,1
516,ELMER,NOE,98.74,1
71,KATHY,JAMES,129.70,1
188,MELANIE,ARMSTRONG,92.75,1
69,JUDY,GRAY,96.75,1
257,MARSHA,DOUGLAS,151.63,1
212,WILMA,RICHARDS,91.80,1
362,NICHOLAS,BARFIELD,145.68,1
528,CLAUDE,HERZOG,111.75,1
543,LANCE,PEMBERTON,82.78,1
284,SONIA,GREGORY,126.72,1
439,ALEXANDER,FENNELL,151.64,1
413,MARVIN,YEE,75.79,1
155,GAIL,KNIGHT,109.75,1
379,CARLOS,COUGHLIN,106.77,1
209,TONYA,CHAPMAN,161.68,1
529,ERIK,GUILLEN,118.71,1
15,HELEN,HARRIS,134.68,1
202,CARLA,GUTIERREZ,103.74,1
468,TIM,CARY,175.61,1
559,EVERETT,BANDA,110.72,1
533,JESSIE,MILAM,141.67,1
321,KEVIN,SCHULER,116.78,1
94,NORMA,GONZALES,79.79,1
206,TERRI,VASQUEZ,126.73,1
342,HAROLD,MARTINO,130.68,1
125,ETHEL,WEBB,135.68,1
230,JOY,GEORGE,124.67,1
132,ESTHER,CRAWFORD,95.72,1
85,ANNE,POWELL,87.77,1
325,TIMOTHY,BUNN,91.78,1
357,KEITH,RICO,89.74,1
309,CHRISTOPHER,GRECO,147.69,1
402,LUIS,YANEZ,79.80,1
499,MARC,OUTLAW,123.70,1
149,VALERIE,BLACK,121.74,1
563,KEN,PREWITT,110.71,1
235,JACKIE,LYNCH,93.75,1
318,BRIAN,WYMAN,52.88,1
371,BILLY,POULIN,149.65,1
304,DAVID,ROYAL,115.74,1
532,NEIL,RENNER,152.68,1
526,KARL,SEAL,221.55,1
111,CARMEN,OWENS,97.74,1
578,WILLARD,LUMPKIN,96.78,1
388,CRAIG,MORRELL,124.70,1
65,ROSE,HOWARD,103.78,1
587,SERGIO,STANFIELD,108.74,1
167,SALLY,PIERCE,119.68,1
75,TAMMY,SANDERS,155.59,1
197,SUE,PETERS,154.60,1
509,RAUL,FORTIER,100.80,1
406,NATHAN,RUNYON,122.68,1
555,DWIGHT,LOMBARDI,74.83,1
88,BONNIE,HUGHES,87.79,1
73,BEVERLY,BROOKS,97.76,1
38,MARTHA,GONZALEZ,127.66,1
517,BRAD,MCCURDY,105.75,1
411,NORMAN,CURRIER,80.74,1
239,MINNIE,ROMERO,142.66,1
328,JEFFREY,SPEAR,90.77,1
14,BETTY,WHITE,117.72,1
26,JESSICA,HALL,152.66,1
205,EILEEN,CARR,80.82,1
140,EVA,RAMOS,83.82,1
247,STELLA,MORENO,104.78,1
482,MAURICE,CRAWLEY,138.71,1
182,RENEE,LANE,97.74,1
515,ANDRE,RAPP,126.72,1
24,KIMBERLY,LEE,95.75,1
467,ALVIN,DELOACH,139.71,1
323,MATTHEW,MAHAN,114.69,1
575,ISAAC,OGLESBY,126.71,1
113,CINDY,FISHER,113.71,1
572,SIDNEY,BURLESON,108.75,1
416,JEFFERY,PINSON,121.69,1
400,BRYAN,HARDISON,124.72,1
260,CHRISTY,VARGAS,122.69,1
347,RYAN,SALISBURY,142.70,1
27,SHIRLEY,ALLEN,126.69,1
64,JUDITH,COX,100.67,1
294,SHELLY,WATTS,113.74,1
409,RODNEY,MOELLER,104.77,1
483,VERNON,CHAPA,88.82,1
332,STEPHEN,QUALLS,118.72,1
440,BERNARD,COLBY,88.78,1
466,LEO,EBERT,104.77,1
293,MAE,FLETCHER,158.69,1
120,SYLVIA,ORTIZ,143.68,1
114,GRACE,ELLIS,139.67,1
142,APRIL,BURNS,94.74,1
430,RAY,HOULE,79.78,1
341,PETER,MENARD,106.77,1
286,VELMA,LUCAS,117.73,1
455,JON,WILES,87.76,1
451,JIM,REA,128.67,1
420,JACOB,LANCE,79.79,1
17,DONNA,THOMPSON,98.79,1
389,ALAN,KAHN,124.74,1
474,DUSTIN,GILLETTE,100.74,1
110,TIFFANY,JORDAN,59.86,1
448,MIGUEL,BETANCOURT,135.71,1
445,MICHEAL,FORMAN,102.74,1
10,DOROTHY,TAYLOR,99.75,1
507,EDGAR,RHOADS,95.75,1
121,JOSEPHINE,GOMEZ,109.74,1
530,DARRYL,ASHCRAFT,76.77,1
313,DONALD,MAHON,89.77,1
43,CHRISTINE,ROBERTS,99.76,1
576,MORRIS,MCCARTER,139.66,1
192,LAURIE,LAWRENCE,99.77,1
460,LEON,BOSTIC,109.75,1
51,ALICE,STEWART,138.67,1
141,DEBBIE,REYES,130.68,1
105,DAWN,SULLIVAN,120.74,1
211,STACEY,MONTGOMERY,151.66,1
281,LEONA,OBRIEN,50.86,1
117,EDITH,MCDONALD,71.81,1
593,RENE,MCALISTER,113.74,1
561,IAN,STILL,96.73,1
476,DERRICK,BOURQUE,95.78,1
480,COREY,HAUSER,101.78,1
394,CHRIS,BROTHERS,84.78,1
461,DEREK,BLAKELY,97.72,1
92,TINA,SIMMONS,133.72,1
203,TARA,RYAN,88.80,1
118,KIM,CRUZ,82.79,1
173,AUDREY,RAY,119.71,1
158,VERONICA,STONE,126.68,1
364,BENJAMIN,VARNEY,95.77,1
427,JESUS,MCCARTNEY,114.76,1
130,CHARLOTTE,HUNTER,93.76,1
370,WAYNE,TRUONG,70.81,1
255,IRMA,PEARSON,70.82,1
552,HUGH,WALDROP,90.79,1
199,BETH,FRANKLIN,103.75,1
186,HOLLY,FOX,114.69,1
463,DARRELL,POWER,91.75,1
259,LENA,JENSEN,168.68,1
251,VICKIE,BREWER,120.69,1
165,LORRAINE,STEPHENS,86.79,1
8,SUSAN,WILSON,92.76,1
340,PATRICK,NEWSOM,119.69,1
150,DANIELLE,DANIELS,105.75,1
264,GWENDOLYN,MAY,98.75,1
194,KRISTEN,CHAVEZ,87.82,1
299,JAMES,GANNON,131.70,1
470,GORDON,ALLARD,160.68,1
138,HAZEL,WARREN,110.66,1
412,ALLEN,BUTTERFIELD,85.79,1
348,ROGER,QUINTANILLA,146.64,1
384,ERNEST,STEPP,89.75,1
136,ANITA,MORALES,62.85,1
582,ANDY,VANHORN,113.75,1
108,TRACY,COLE,132.70,1
565,JAIME,NETTLES,126.71,1
310,DANIEL,CABRAL,97.80,1
233,LILLIE,KIM,89.77,1
80,MARILYN,ROSS,137.70,1
198,ELSIE,KELLEY,141.63,1
580,ROSS,GREY,99.73,1
103,GLADYS,HAMILTON,146.69,1
349,JOE,GILLILAND,138.71,1
278,BILLIE,HORTON,88.74,1
171,DOLORES,WAGNER,114.74,1
519,RON,DELUCA,103.77,1
106,CONNIE,WALLACE,100.77,1
240,MARLENE,WELCH,117.74,1
54,TERESA,ROGERS,128.71,1
396,EARL,SHANKS,111.73,1
391,CLARENCE,GAMEZ,104.70,1
408,MANUEL,MURRELL,116.70,1
60,MILDRED,BAILEY,98.75,1
153,SUZANNE,NICHOLS,94.76,1
234,CLAUDIA,FULLER,111.74,1
329,FRANK,WAGGONER,127.68,1
222,DELORES,HANSEN,91.79,1
128,MARJORIE,TUCKER,127.68,1
49,JOYCE,EDWARDS,130.72,1
100,ROBIN,HAYES,102.76,1
32,AMY,LOPEZ,127.71,1
168,REGINA,BERRY,135.66,1
594,EDUARDO,HIATT,130.73,1
595,TERRENCE,GUNDERSON,117.70,1
224,PEARL,GARZA,76.78,1
471,DEAN,SAUER,109.73,1
504,NATHANIEL,ADAM,133.72,1
581,VIRGIL,WOFFORD,107.73,1
47,FRANCES,PARKER,108.78,1
591,KENT,ARSENAULT,134.73,1
435,RICKY,SHELBY,91.75,1
369,FRED,WHEAT,88.75,1
218,VERA,MCCOY,67.82,1
18,CAROL,GARCIA,91.78,1
163,CATHY,SPENCER,122.71,1
301,ROBERT,BAUGHMAN,92.79,1
270,LEAH,CURTIS,104.75,1
79,RACHEL,BARNES,84.78,1
31,BRENDA,WRIGHT,104.74,1
386,TODD,TAN,117.71,1
510,BEN,EASTER,122.74,1
547,KURT,EMMONS,99.77,1
492,LESTER,KRAUS,65.84,1
308,THOMAS,GRIGSBY,105.75,1
274,NAOMI,JENNINGS,152.65,1
419,CHAD,CARBONE,89.75,1
377,HOWARD,FORTNER,93.74,1
143,LESLIE,GORDON,89.78,1
19,RUTH,MARTINEZ,125.76,1
99,EMILY,DIAZ,91.76,1
326,JOSE,ANDREW,96.75,1
179,DANA,HART,133.71,1
193,KATIE,ELLIOTT,109.75,1
438,BARRY,LOVELACE,134.67,1
109,EDNA,WEST,107.74,1
295,DAISY,BATES,162.62,1
545,JULIO,NOLAND,89.79,1
401,TONY,CARRANZA,73.79,1
283,FELICIA,SUTTON,86.72,1
393,PHILIP,CAUSEY,121.69,1
289,VIOLET,RODRIQUEZ,142.70,1
7,MARIA,MILLER,151.67,1
124,SHEILA,WELLS,73.82,1
58,JEAN,BELL,115.73,1
271,PENNY,NEAL,68.82,1
34,REBECCA,SCOTT,89.76,1
376,RANDY,GAITHER,110.72,1
311,PAUL,TROUT,120.77,1
531,JAMIE,WAUGH,118.75,1
488,SHANE,MILLARD,95.78,1
89,JULIA,FLORES,134.68,1
437,RANDALL,NEUMANN,99.77,1
151,MEGAN,PALMER,92.73,1
112,ROSA,REYNOLDS,133.70,1
422,MELVIN,ELLINGTON,97.74,1
244,VIOLA,HANSON,129.68,1
6,JENNIFER,DAVIS,93.72,1
598,WADE,DELVALLE,83.78,1
162,LAUREN,HUDSON,71.80,1
267,MARGIE,WADE,159.64,1
569,DAVE,GARDINER,134.68,1
473,JORGE,OLIVARES,134.66,1
129,CARRIE,PORTER,124.66,1
23,SARAH,LEWIS,119.70,1
166,LYNN,PAYNE,123.72,1
122,THELMA,MURRAY,126.68,1
63,ASHLEY,RICHARDSON,112.75,1
159,JILL,HAWKINS,68.79,1
44,MARIE,TURNER,114.74,1
541,DARREN,WINDHAM,108.76,1
160,ERIN,DUNN,106.73,1
589,TRACY,HERRMANN,129.72,1
252,MATTIE,HOFFMAN,64.78,1
512,CECIL,VINES,115.74,1
501,RUBEN,GEARY,89.79,1
387,JESSE,SCHILLING,101.74,1
30,MELISSA,KING,123.66,1
183,IDA,ANDREWS,76.77,1
500,REGINALD,KINDER,115.72,1
81,ANDREA,HENDERSON,93.78,1
346,ARTHUR,SIMPKINS,155.68,1
66,JANICE,WARD,144.66,1
382,VICTOR,BARKLEY,91.76,1
263,HILDA,HOPKINS,122.71,1
223,MELINDA,FERNANDEZ,80.83,1
196,ALMA,AUSTIN,151.65,1
453,CALVIN,MARTEL,111.77,1
20,SHARON,ROBINSON,115.70,1
246,MARIAN,MENDOZA,107.77,1
9,MARGARET,MOORE,89.77,1
177,SAMANTHA,DUNCAN,71.77,1
355,TERRY,GRISSOM,72.80,1
90,RUBY,WASHINGTON,110.72,1
181,ANA,BRADLEY,174.66,1
107,FLORENCE,WOODS,126.70,1
343,DOUGLAS,GRAF,114.75,1
316,STEVEN,CURLEY,132.71,1
491,RICK,MATTOX,124.73,1
253,TERRY,CARLSON,127.71,1
527,CORY,MEEHAN,81.76,1
144,CLARA,SHAW,195.58,1
570,IVAN,CROMWELL,99.74,1
256,MABEL,HOLLAND,112.70,1
46,CATHERINE,CAMPBELL,142.66,1
579,DARYL,LARUE,111.73,1
131,MONICA,HICKS,128.70,1
28,CYNTHIA,YOUNG,111.68,1
481,HERMAN,DEVORE,115.71,1
375,AARON,SELBY,110.76,1
4,BARBARA,JONES,81.78,1
59,CHERYL,MURPHY,133.73,1
433,DON,BONE,133.75,1
447,CLIFFORD,BOWENS,113.71,1
40,AMANDA,CARTER,110.73,1
152,ALICIA,MILLS,83.79,1
53,HEATHER,MORRIS,115.70,1
368,HARRY,ARCE,157.65,1
237,TANYA,GILBERT,144.67,1
390,SHAWN,HEATON,152.67,1
472,GREG,ROBINS,141.70,1
383,MARTIN,BALES,103.73,1
5,ELIZABETH,BROWN,144.62,1
37,PAMELA,BAKER,95.77,1
535,JAVIER,ELROD,135.68,1
432,EDWIN,BURK,116.77,1
115,WENDY,HARRISON,91.70,1
520,MITCHELL,WESTMORELAND,134.68,1
48,ANN,EVANS,76.83,1
553,MAX,PITT,107.76,1
191,JEANETTE,GREENE,74.80,1
344,HENRY,BILLINGSLEY,73.82,1
207,GERTRUDE,CASTILLO,137.66,1
363,ROY,WHITING,143.71,1
174,YVONNE,WATKINS,92.79,1
277,OLGA,JIMENEZ,144.68,1
399,DANNY,ISOM,91.79,1
489,RICARDO,MEADOR,99.79,1
365,BRUCE,SCHWARZ,103.77,1
265,JENNIE,TERRY,133.71,1
50,DIANE,COLLINS,169.65,1
404,STANLEY,SCROGGINS,139.70,1
156,BERTHA,FERGUSON,101.75,1
337,JERRY,JORDON,143.71,1
189,LORETTA,CARPENTER,93.78,1
13,KAREN,JACKSON,131.73,1
475,PEDRO,CHESTNUT,103.76,1
285,MIRIAM,MCKINNEY,135.74,1
298,ERIKA,PENA,101.74,1
469,WESLEY,BULL,177.60,1
280,TRACEY,BARRETT,118.73,1
250,JO,FOWLER,73.80,1
434,EDDIE,TOMLIN,128.73,1
338,DENNIS,GILMAN,114.72,1
353,JONATHAN,SCARBOROUGH,72.82,1
42,CAROLYN,PEREZ,117.70,1
268,NINA,SOTO,123.71,1
542,LONNIE,TIRADO,94.82,1
56,GLORIA,COOK,135.70,1
